consecutive_losses,balance_ratio,avg_bet_size,churn
3,1.07,4.15,0
8,0.82,64.15,1
6,0.23,95.95,1
4,1.47,68.36,0
2,1.62,66.5,0
1,0.44,65.98,0
5,0.42,83.54,1
0,0.31,54.09,1
7,0.24,79.26,1
6,1.23,37.53,0
3,1.59,39.51,0
3,1.02,82.67,0
3,0.23,92.46,1
10,1.2,27.5,0
6,1.82,61.96,0
4,1.43,72.02,0
5,0.51,52.97,1
7,0.4,22.02,1
5,1.03,24.78,0
4,1.63,26.11,0
3,1.02,10.71,0
0,0.79,19.06,0
0,0.38,54.61,1
0,0.61,92.81,0
9,1.45,54.7,0
5,1.76,26.73,0
3,1.35,48.25,0
3,0.96,43.99,0
9,0.27,6.14,1
2,1.31,98.88,0
4,0.71,27.04,0
6,0.63,15.09,0
4,1.44,50.73,0
6,1.74,9.34,0
10,0.24,58.71,1
1,1.42,36.7,0
1,0.82,84.09,0
8,0.18,33.84,1
2,1.16,35.77,0
8,1.58,31.31,0
5,1.51,61.31,0
1,0.16,55.18,1
4,1.74,72.52,0
10,1.46,27.78,0
2,0.35,39.67,1
4,0.83,95.29,0
6,0.72,63.98,1
4,0.32,90.64,1
4,1.01,19.08,0
2,1.42,28.54,0
2,1.13,27.61,0
2,1.09,96.15,0
9,0.66,73.86,1
3,1.11,9.26,0
8,0.16,24.87,1
10,1.53,9.08,0
9,1.18,98.19,0
9,1.4,45.34,0
8,0.4,21.67,1
0,1.19,55.65,0
0,1.75,29.5,0
7,1.37,11.78,0
10,0.35,60.53,1
10,1.29,48.46,0
0,1.21,49.68,0
9,1.75,17.81,0
9,1.72,65.98,0
6,0.82,43.17,0
2,0.76,83.17,0
7,0.5,86.09,1
8,1.2,79.2,0
6,0.22,95.04,1
6,0.44,95.39,0
3,0.33,97.86,1
10,1.1,99.87,0
5,1.35,23.41,0
0,1.06,15.13,0
5,0.36,15.16,1
3,1.56,22.92,0
1,0.17,87.49,1
10,1.09,79.3,1
5,1.05,11.22,0
2,1.33,68.44,0
3,0.4,80.02,1
2,0.24,59.16,1
8,1.3,59.86,0
2,1.8,99.87,0
9,0.59,84.91,1
0,1.63,55.07,0
7,0.86,49.26,0
6,1.78,27.86,0
1,1.52,89.46,0
7,1.3,72.12,0
7,0.18,32.65,1
0,1.47,69.3,0
1,0.57,24.46,0
1,0.32,20.61,0
10,0.12,36.74,1
7,1.36,96.49,0
3,0.66,98.83,0
10,1.95,20.02,0
3,0.81,14.31,0
3,1.93,68.25,0
0,0.91,67.44,0
5,0.37,58.91,0
8,1.81,56.75,0
6,1.24,4.22,0
2,1.45,64.02,0
0,0.33,3.55,0
7,1.69,14.06,0
0,1.71,13.2,0
10,1.32,80.24,0
3,1.52,18.46,0
1,0.24,2.11,1
5,0.9,9.16,0
9,1.02,74.63,1
6,0.92,93.37,0
3,0.64,50.89,0
3,1.21,33.62,0
3,1.06,31.83,0
0,1.96,28.27,0
8,0.48,25.14,1
1,0.8,40.5,0
3,0.89,45.04,0
4,0.36,49.75,1
0,0.47,51.46,0
5,0.79,91.37,0
2,0.18,25.93,1
3,1.95,58.53,0
6,0.82,51.57,1
7,0.65,33.09,1
7,1.22,45.13,0
0,1.75,35.17,0
3,0.14,94.57,1
3,0.67,86.32,0
7,1.0,20.75,0
10,1.71,98.17,0
2,0.77,93.28,0
4,1.92,85.95,0
7,1.37,34.88,0
4,1.62,5.5,0
8,1.71,5.57,0
8,0.36,85.69,1
4,1.25,48.88,0
1,1.25,27.55,0
0,0.68,11.34,0
4,0.69,43.36,1
8,1.99,77.18,0
0,0.75,56.65,0
9,0.27,12.64,1
8,1.75,15.73,0
4,0.19,19.42,1
8,1.76,12.43,0
3,1.05,62.9,0
0,1.8,43.07,0
7,1.37,20.39,0
5,1.15,52.48,0
8,1.34,77.79,0
10,0.57,71.42,1
10,0.98,81.09,0
4,0.36,67.72,1
7,1.51,59.31,0
10,1.39,21.57,0
1,0.12,8.67,1
3,0.44,45.85,1
6,1.71,29.07,0
7,0.15,54.88,1
1,0.9,39.24,0
1,1.52,90.2,0
1,1.17,6.45,0
2,1.94,56.8,0
7,1.98,6.33,0
1,1.0,87.75,0
7,1.12,59.19,0
1,0.55,84.16,0
10,0.77,9.65,1
0,1.18,20.73,0
7,1.04,11.02,0
8,1.89,5.66,0
10,1.68,97.78,0
5,0.77,38.27,1
5,0.17,65.74,1
5,1.23,93.83,0
8,0.26,39.33,1
1,1.1,20.22,0
8,1.75,47.2,0
0,1.84,28.89,0
9,0.84,12.57,1
9,0.52,86.17,1
0,1.08,48.72,0
1,0.74,68.31,0
1,0.86,6.16,0
2,1.36,35.06,0
2,0.4,34.84,1
0,1.48,11.39,0
3,0.74,34.26,0
1,1.81,55.46,0
2,0.97,46.89,0
6,0.95,67.88,0
1,0.34,77.41,1
10,0.15,45.96,1
6,0.79,79.57,0
6,1.9,28.14,0
5,0.45,19.74,0
10,1.57,52.53,0
4,1.96,98.45,0
4,0.42,64.66,0
4,1.0,68.74,0
4,1.68,33.23,0
0,1.21,49.64,0
2,1.74,99.23,0
6,1.84,66.27,0
0,1.56,63.13,0
4,1.08,97.52,0
6,0.13,59.79,1
7,0.38,96.58,1
0,1.01,5.1,0
2,0.88,80.33,0
0,0.97,64.19,0
7,1.4,76.87,0
4,1.13,23.85,0
9,0.93,9.09,1
8,1.08,84.59,1
2,1.86,64.77,0
7,1.06,46.91,0
